team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Liverpool FC,Liverpool,2020/2021,England,7,4,3,0,5,4,1,1,0,1,1,0,1,2.29,3,1.33,1,1,16,1,17,15,2,32,17,15,11,6,6,9,5,-3,37,33,45,42,60,30,1,0,1,6,4,2,0,0,0,3,1,2,46,23,23,6,3,3,61,59,64,119,64,55,47,23,24,72,41,31,50,27,23,9,7,2,10,5,5,-1,2,-3,2,2,0,4,2,2,1,0,1,1.43,2,0.67,4.57,4.25,5,2.43,2.75,2,2.14,1.5,3,2.71,3,2.33,1.29,1.75,0.67,1.43,1.25,1.67,7,7,6,4,2,2,4,4,4,2,1,1,3,3,2,2,1,1,0,0,1,3,5,5,0,0,0,2,3,3,0,0,1,1,2,2,100,100,86,57,29,29,100,100,100,50,25,25,100,100,67,67,33,33,0,0,14,43,71,71,0,0,0,50,75,75,0,0,33,33,67,67,6,6,3,4,4,2,2,2,1,86,86,43,100,100,50,67,67,33,71,100,33,22,14,0,33,86,100,67,0,0,0,43,25,67,1,0,1,14,0,33,1,0,1,14,0,33,6,4,2,86,100,67,29,50,0,57,50,67,14,0,33,7.67,7.67,7.67,0.86,0.75,1.00,100,83,83,50,17,17,0,0,143,2,1,1,3,3,2,1,1,3,2,3,3,2,0,1,2,1,1
Chelsea FC,Chelsea,2020/2021,England,7,3,4,0,3,1,2,3,1,2,1,1,0,1.71,1.33,2,6,9,3,6,16,9,7,25,12,13,7,9,5,4,2,5,39,39,40,70,54,90,3,1,2,3,1,2,2,1,1,4,2,2,33,15,18,9,5,4,56,54,58,75,36,39,37,17,20,38,19,19,64,29,35,4,2,2,4,1,3,0,1,-1,3,1,2,3,2,1,1,0,1,1.71,1.67,1.75,3.57,4,3.25,2.29,2.33,2.25,1.29,1.67,1,1.14,1,1.25,0.57,0.67,0.5,0.57,0.33,0.75,6,6,5,4,2,2,3,3,2,2,1,1,3,3,3,2,1,1,1,1,2,3,5,5,0,0,1,1,2,2,1,1,1,2,3,3,86,86,71,57,29,29,100,100,67,67,33,33,75,75,75,50,25,25,14,14,29,43,71,71,0,0,33,33,67,67,25,25,25,50,75,75,4,2,2,1,1,1,3,1,1,57,29,29,33,33,33,75,25,25,43,33,50,-14,43,33,50,43,33,50,29,33,25,57,67,50,5,2,3,71,67,75,4,2,2,57,67,50,1,1,0,14,33,0,43,33,50,43,67,25,14,0,25,5.50,5.00,6.00,1.29,1.67,1.00,100,83,67,67,67,67,33,17,100,0,1,3,0,1,3,5,1,2,1,0,2,0,2,3,0,0,1
West Ham United FC,West Ham United,2020/2021,England,7,3,4,0,2,1,1,2,1,1,3,1,2,1.14,1.33,1,14,10,14,14,13,10,3,23,8,15,5,8,3,7,2,1,48,54,45,63,90,51,2,1,1,4,1,3,1,1,0,4,2,2,27,11,16,13,4,9,40,41,39,76,31,45,32,15,17,44,16,28,67,34,33,6,2,4,5,0,5,1,2,-1,3,2,1,3,1,2,1,0,1,1.71,2.33,1.25,3.29,2.67,3.75,1.86,1.67,2,1.43,1,1.75,1.57,0.67,2.25,0.86,0.67,1,0.71,0,1.25,7,7,5,2,1,1,3,3,1,1,0,0,4,4,4,1,1,1,0,0,2,5,6,6,0,0,2,2,3,3,0,0,0,3,3,3,100,100,71,29,14,14,100,100,33,33,0,0,100,100,100,25,25,25,0,0,29,71,86,86,0,0,67,67,100,100,0,0,0,75,75,75,6,4,1,2,0,0,4,4,1,86,57,14,67,0,0,100,100,25,29,33,25,10,29,33,25,57,33,75,14,33,0,57,67,50,4,3,1,57,100,25,2,1,1,29,33,25,2,0,2,29,0,50,43,67,25,43,33,50,14,0,25,4.50,3.67,5.33,1.86,1.33,2.25,83,83,83,83,50,50,17,17,100,1,3,0,1,1,1,1,0,5,2,1,1,0,1,2,0,0,3
Newcastle United FC,Newcastle United,2020/2021,England,7,4,3,0,3,2,1,2,0,2,2,2,0,1.57,1.5,1.67,11,7,13,11,10,11,-1,21,15,6,6,4,9,2,-3,2,63,60,68,57,40,134,1,0,1,5,3,2,1,1,0,4,3,1,24,10,14,15,8,7,41,43,38,46,23,23,19,11,8,27,12,15,44,18,26,2,2,0,4,3,1,-2,-1,-1,1,1,0,4,2,2,2,1,1,1,1.25,0.67,3,3.75,2,1.43,1.5,1.33,1.57,2.25,0.67,0.86,1.25,0.33,0.29,0.5,0,0.57,0.75,0.33,7,7,4,2,1,0,4,4,4,2,1,0,3,3,0,0,0,0,0,0,3,5,6,7,0,0,0,2,3,4,0,0,3,3,3,3,100,100,57,29,14,0,100,100,100,50,25,0,100,100,0,0,0,0,0,0,43,71,86,100,0,0,0,50,75,100,0,0,100,100,100,100,4,2,0,3,2,0,1,0,0,57,29,0,75,50,0,33,0,0,43,50,33,-19,14,0,33,71,75,67,14,25,0,57,75,33,4,2,2,57,50,67,5,2,3,71,50,100,1,1,0,14,25,0,14,25,0,57,50,67,29,25,33,4.00,3.33,4.67,2.14,2,2.33,83,50,33,33,33,33,33,33,86,1,1,0,0,0,2,1,1,4,2,0,2,0,0,0,1,1,5
Aston Villa FC,Aston Villa,2020/2021,England,6,4,2,1,4,2,2,0,0,0,2,2,0,2,1.5,3,7,4,7,7,15,9,6,24,20,4,11,4,9,0,2,4,36,33,45,60,40,0,3,1,2,2,2,0,1,1,0,4,2,2,28,18,10,14,8,6,45,47,43,74,50,24,29,19,10,45,31,14,62,29,33,6,4,2,4,4,0,2,0,2,2,1,1,3,2,1,1,1,0,1.5,1.25,2,4,5,2,2.5,2.75,2,1.5,2.25,0,1.67,2,1,1,1,1,0.67,1,0,6,4,4,2,2,2,4,3,3,2,2,2,2,1,1,0,0,0,0,2,2,4,4,4,0,1,1,2,2,2,0,1,1,2,2,2,100,67,67,33,33,33,100,75,75,50,50,50,100,50,50,0,0,0,0,33,33,67,67,67,0,25,25,50,50,50,0,50,50,100,100,100,3,3,2,2,2,2,1,1,0,50,50,33,50,50,50,50,50,0,67,50,100,-20,50,25,100,33,50,0,17,25,0,67,50,100,4,2,2,67,50,100,4,3,1,67,75,50,1,1,0,17,25,0,33,25,50,50,50,50,17,25,0,5.60,6.00,5.00,2.33,2,3.00,100,100,80,40,40,20,20,20,67,2,1,1,2,1,1,3,1,3,0,1,0,2,1,3,1,1,0
Fulham FC,Fulham,2020/2021,England,6,3,3,0,0,0,0,1,0,1,5,3,2,0.17,0,0.33,19,20,17,19,5,14,-9,19,9,10,1,4,8,6,-7,-2,108,273,68,39,34,45,0,0,0,3,1,2,3,2,1,1,0,1,21,11,10,15,10,5,56,58,54,77,42,35,24,10,14,53,32,21,68,35,33,1,0,1,6,4,2,-5,-4,-1,0,0,0,2,0,2,4,3,1,0.33,0,0.67,3.17,3,3.33,0.83,0.33,1.33,2.33,2.67,2,1.17,1.33,1,0.17,0,0.33,1,1.33,0.67,6,5,4,1,1,1,3,3,3,0,0,0,3,2,1,1,1,1,0,1,2,5,5,5,0,0,0,3,3,3,0,1,2,2,2,2,100,83,67,17,17,17,100,100,100,0,0,0,100,67,33,33,33,33,0,17,33,83,83,83,0,0,0,100,100,100,0,33,67,67,67,67,4,2,1,3,1,0,1,1,1,67,33,17,100,33,0,33,33,33,0,0,0,-38,0,0,0,50,33,67,50,67,33,17,0,33,2,0,2,33,0,67,5,3,2,83,100,67,1,0,1,17,0,33,0,0,0,33,0,67,67,100,33,3.50,3.67,3.33,2.5,3.33,1.67,83,67,0,0,0,0,0,0,100,0,0,0,1,0,0,2,1,1,4,1,0,0,4,3,1,0,1
Brighton & Hove Albion FC,Brighton & Hove Albion,2020/2021,England,7,3,4,0,1,0,1,2,1,1,4,2,2,0.71,0.33,1,16,16,15,16,11,14,-3,25,11,14,4,7,7,7,-3,0,57,68,51,45,39,51,1,0,1,6,3,3,0,0,0,3,2,1,33,17,16,15,7,8,55,51,59,82,36,46,29,15,14,53,21,32,76,34,42,5,2,3,6,2,4,-1,0,-1,2,1,1,1,1,0,4,1,3,1,1.33,0.75,3.57,3.67,3.5,1.57,1.33,1.75,2,2.33,1.75,1.57,1.33,1.75,0.71,0.67,0.75,0.86,0.67,1,7,7,5,3,2,1,3,3,2,2,1,0,4,4,3,1,1,1,0,0,2,4,5,6,0,0,1,1,2,3,0,0,1,3,3,3,100,100,71,43,29,14,100,100,67,67,33,0,100,100,75,25,25,25,0,0,29,57,71,86,0,0,33,33,67,100,0,0,25,75,75,75,7,3,1,3,1,0,4,2,1,100,43,14,100,33,0,100,50,25,14,0,25,-16,14,0,25,86,100,75,0,0,0,43,67,25,2,1,1,29,33,25,3,1,2,43,33,50,2,1,1,29,33,25,29,33,25,14,33,0,57,33,75,5.50,5.67,5.33,2.14,2.33,2.00,100,67,17,17,17,17,17,0,71,2,0,0,2,1,2,0,0,4,0,3,1,0,2,3,2,1,2
Leeds United FC,Leeds United,2020/2021,England,6,3,3,0,3,1,2,1,1,0,2,1,1,1.67,1.33,2,12,11,8,12,12,9,3,21,10,11,5,7,5,4,0,3,45,54,39,60,54,68,2,0,2,3,2,1,1,1,0,3,1,2,32,20,12,8,5,3,58,56,59,89,37,52,41,19,22,48,18,30,60,32,28,4,2,2,5,2,3,-1,0,-1,1,1,0,3,1,2,2,1,1,1,1.33,0.67,3.5,3.33,3.67,2,1.67,2.33,1.5,1.67,1.33,1.5,1.33,1.67,0.67,0.67,0.67,0.83,0.67,1,6,4,3,2,2,2,3,2,1,1,1,1,3,2,2,1,1,1,0,2,3,4,4,4,0,1,2,2,2,2,0,1,1,2,2,2,100,67,50,33,33,33,100,67,33,33,33,33,100,67,67,33,33,33,0,33,50,67,67,67,0,33,67,67,67,67,0,33,33,67,67,67,3,2,2,2,1,1,1,1,1,50,33,33,67,33,33,33,33,33,50,33,67,-14,33,0,67,50,67,33,17,33,0,50,33,67,3,1,2,50,33,67,4,2,2,67,67,67,2,1,1,33,33,33,17,33,0,50,33,67,33,33,33,5.33,6.67,4.00,1.33,1.67,1.00,100,100,83,67,67,33,17,17,117,1,1,1,0,2,3,2,1,1,1,2,0,2,0,0,3,0,1
Wolverhampton Wanderers FC,Wolverhampton Wanderers,2020/2021,England,7,4,3,0,4,2,2,1,1,0,2,1,1,1.86,1.75,2,5,3,11,5,8,8,0,16,9,7,5,3,4,4,1,-1,79,72,90,79,90,68,4,2,2,2,2,0,1,0,1,5,3,2,30,19,11,4,1,3,47,47,47,88,60,28,31,20,11,57,40,17,75,44,31,4,2,2,3,2,1,1,0,1,2,1,1,3,2,1,2,1,1,1.29,1.25,1.33,2.29,2.25,2.33,1.14,1.25,1,1.14,1,1.33,1,1,1,0.57,0.5,0.67,0.43,0.5,0.33,7,5,2,2,0,0,4,3,1,1,0,0,3,2,1,1,0,0,0,2,5,5,7,7,0,1,3,3,4,4,0,1,2,2,3,3,100,71,29,29,0,0,100,75,25,25,0,0,100,67,33,33,0,0,0,29,71,71,100,100,0,25,75,75,100,100,0,33,67,67,100,100,4,3,0,2,2,0,2,1,0,57,43,0,50,50,0,67,33,0,57,50,67,11,57,50,67,29,50,0,14,0,33,71,75,67,5,3,2,71,75,67,5,3,2,71,75,67,0,0,0,0,0,0,29,25,33,43,50,33,29,25,33,4.29,4.75,3.67,0.57,0.25,1.00,71,71,56,56,43,28,28,14,71,2,1,1,0,0,1,1,2,0,0,2,0,1,0,1,1,0,3
Sheffield United FC,Sheffield United,2020/2021,England,7,4,3,0,0,0,0,1,1,0,6,3,3,0.14,0.25,0,18,17,20,18,3,10,-7,13,6,7,1,2,5,5,-4,-3,209,360,134,63,72,54,0,0,0,3,1,2,4,3,1,1,0,1,30,19,11,11,4,7,39,44,34,58,31,27,21,12,9,37,19,18,71,34,37,1,0,1,4,3,1,-3,-3,0,0,0,0,5,2,3,2,2,0,0.71,0.5,1,1.86,1.5,2.33,0.43,0.25,0.67,1.43,1.25,1.67,0.71,0.75,0.67,0.14,0,0.33,0.57,0.75,0.33,7,4,2,0,0,0,4,2,0,0,0,0,3,2,2,0,0,0,0,3,5,7,7,7,0,2,4,4,4,4,0,1,1,3,3,3,100,57,29,0,0,0,100,50,0,0,0,0,100,67,67,0,0,0,0,43,71,100,100,100,0,50,100,100,100,100,0,33,33,100,100,100,3,2,0,2,1,0,1,1,0,43,29,0,50,25,0,33,33,0,0,0,0,-15,0,0,0,43,25,67,57,75,33,14,0,33,4,2,2,57,50,67,6,4,2,86,100,67,1,0,1,14,0,33,0,0,0,71,50,100,29,50,0,5.00,6.33,3.67,1.83,1.33,2.33,83,67,67,67,50,50,33,33,57,0,1,0,0,0,0,0,0,2,2,0,1,0,1,0,4,1,1
